0002;1;B;1.0;2012 Q1;BCM2835;Egoman;ARM 1176JZF-S (32-bit);Single-Core @ 700 MHz;BCM VideoCore IV;256 MB;SD, MMC, SDIO;10/100 Mbit/s;None;None;(I2S);Analog, HDMI, I2S;MIPI (CSI);HDMI, Composite Video (RCA), MIPI (DSI);1;1;2;P1 Rev1;rpi_1_model_b_rev_1.png
0003;1;B;1.0;2012 Q3;BCM2835;Egoman;ARM 1176JZF-S (32-bit);Single-Core @ 700 MHz;BCM VideoCore IV;256 MB;SD, MMC, SDIO;10/100 Mbit/s;None;None;(I2S);Analog, HDMI, I2S;MIPI (CSI);HDMI, Composite Video (RCA), MIPI (DSI);1;1;2;P1 Rev1;rpi_1_model_b_rev_1.png
0004;1;B;2.0;2012 Q3;BCM2835;Sony;ARM 1176JZF-S (32-bit);Single-Core @ 700 MHz;BCM VideoCore IV;256 MB;SD, MMC, SDIO;10/100 Mbit/s;None;None;(I2S);Analog, HDMI, I2S;MIPI (CSI);HDMI, Composite Video (RCA), MIPI (DSI);1;1;2;P1 Rev2, P5 Rev2;rpi_1_model_b_rev_2.png
0005;1;B;2.0;2012 Q4;BCM2835;Qisda;ARM 1176JZF-S (32-bit);Single-Core @ 700 MHz;BCM VideoCore IV;256 MB;SD, MMC, SDIO;10/100 Mbit/s;None;None;(I2S);Analog, HDMI, I2S;MIPI (CSI);HDMI, Composite Video (RCA), MIPI (DSI);1;1;2;P1 Rev2, P5 Rev2;rpi_1_model_b_rev_2.png
0006;1;B;2.0;2012 Q4;BCM2835;Egoman;ARM 1176JZF-S (32-bit);Single-Core @ 700 MHz;BCM VideoCore IV;256 MB;SD, MMC, SDIO;10/100 Mbit/s;None;None;(I2S);Analog, HDMI, I2S;MIPI (CSI);HDMI, Composite Video (RCA), MIPI (DSI);1;1;2;P1 Rev2, P5 Rev2;rpi_1_model_b_rev_2.png
0007;1;A;2.0;2013 Q1;BCM2835;Egoman;ARM 1176JZF-S (32-bit);Single-Core @ 700 MHz;BCM VideoCore IV;256 MB;SD, MMC, SDIO;None;None;None;(I2S);Analog, HDMI, I2S;MIPI (CSI);HDMI, Composite Video (RCA), MIPI (DSI);1;1;1;P1 Rev2, P5 Rev2;rpi_1_model_a_rev_2.png
0008;1;A;2.0;2013 Q1;BCM2835;Sony;ARM 1176JZF-S (32-bit);Single-Core @ 700 MHz;BCM VideoCore IV;256 MB;SD, MMC, SDIO;None;None;None;(I2S);Analog, HDMI, I2S;MIPI (CSI);HDMI, Composite Video (RCA), MIPI (DSI);1;1;1;P1 Rev2, P5 Rev2;rpi_1_model_a_rev_2.png
0009;1;A;2.0;2013 Q1;BCM2835;Qisda;ARM 1176JZF-S (32-bit);Single-Core @ 700 MHz;BCM VideoCore IV;256 MB;SD, MMC, SDIO;None;None;None;(I2S);Analog, HDMI, I2S;MIPI (CSI);HDMI, Composite Video (RCA), MIPI (DSI);1;1;1;P1 Rev2, P5 Rev2;rpi_1_model_a_rev_2.png
000d;1;B;2.0;2012 Q4;BCM2835;Egoman;ARM 1176JZF-S (32-bit);Single-Core @ 700 MHz;BCM VideoCore IV;512 MB;SD, MMC, SDIO;10/100 Mbit/s;None;None;(I2S);Analog, HDMI, I2S;MIPI (CSI);HDMI, Composite Video (RCA), MIPI (DSI);1;1;2;P1 Rev1;rpi_1_model_b_rev_2.png
000e;1;B;2.0;2012 Q4;BCM2835;Sony;ARM 1176JZF-S (32-bit);Single-Core @ 700 MHz;BCM VideoCore IV;512 MB;SD, MMC, SDIO;10/100 Mbit/s;None;None;(I2S);Analog, HDMI, I2S;MIPI (CSI);HDMI, Composite Video (RCA), MIPI (DSI);1;1;2;P1 Rev1;rpi_1_model_b_rev_2.png
000f;1;B;2.0;2012 Q4;BCM2835;Qisda;ARM 1176JZF-S (32-bit);Single-Core @ 700 MHz;BCM VideoCore IV;512 MB;SD, MMC, SDIO;10/100 Mbit/s;None;None;(I2S);Analog, HDMI, I2S;MIPI (CSI);HDMI, Composite Video (RCA), MIPI (DSI);1;1;2;P1 Rev1;rpi_1_model_b_rev_2.png
0010;1+;B+;1.0;2014 Q3;BCM2835;Sony;ARM 1176JZF-S (32-bit);Single-Core @ 700 MHz;BCM VideoCore IV;512 MB;MicroSDHC;10/100 Mbit/s;None;None;(I2S);Analog, HDMI, I2S;MIPI (CSI);HDMI, Composite Video (TRRS), MIPI (DSI);1;1;4;P1 plus;rpi_1_model_b_plus.png
0011;1;CM 1;1.0;2014 Q2;BCM2835;Sony;ARM 1176JZF-S (32-bit);Single-Core @ 700 MHz;BCM VideoCore IV;512 MB;eMMC;None;None;None;(I2S);Analog, HDMI, I2S;MIPI (CSI);HDMI, Composite Video (RCA), MIPI (DSI);2;2;1;CM SODIMM;no_pic.png
0012;1+;A+;1.1;2014 Q4;BCM2835;Sony;ARM 1176JZF-S (32-bit);Single-Core @ 700 MHz;BCM VideoCore IV;256 MB;MicroSDHC;None;None;None;(I2S);Analog, HDMI, I2S;MIPI (CSI);HDMI, Composite Video (TRRS), MIPI (DSI);1;1;1;P1 plus;rpi_1_model_a_plus.png
0013;1+;B+;1.2;2015 Q1;BCM2835;Egoman;ARM 1176JZF-S (32-bit);Single-Core @ 700 MHz;BCM VideoCore IV;512 MB;MicroSDHC;10/100 Mbit/s;None;None;(I2S);Analog, HDMI, I2S;MIPI (CSI);HDMI, Composite Video (TRRS), MIPI (DSI);1;1;4;P1 plus;rpi_1_model_b_plus.png
0014;1;CM 1;1.0;2014 Q2;BCM2835;Embest;ARM 1176JZF-S (32-bit);Single-Core @ 700 MHz;BCM VideoCore IV;512 MB;eMMC;None;None;None;(I2S);Analog, HDMI, I2S;MIPI (CSI);HDMI, Composite Video (RCA), MIPI (DSI);2;2;1;CM SODIMM;no_pic.png
0015;1+;A+;1.1;2014 Q4;BCM2835;Embest;ARM 1176JZF-S (32-bit);Single-Core @ 700 MHz;BCM VideoCore IV;256 MB / 512 MB;MicroSDHC;None;None;None;(I2S);Analog, HDMI, I2S;MIPI (CSI);HDMI, Composite Video (TRRS), MIPI (DSI);1;1;1;P1 plus;rpi_1_model_a_plus.png
a01040;2;B;1.0;2014 Q3;BCM2836;Sony;ARM Cortex-A7 (32-bit);Quad-Core @ 900 MHz;BCM VideoCore IV;1024 MB;MicroSDHC;10/100 Mbit/s;None;None;(I2S);Analog, HDMI, I2S;MIPI (CSI);HDMI, Composite Video (TRRS), MIPI (DSI);1;1;4;P1 plus;rpi_2_model_b.png
a01041;2;B;1.1;2015 Q1;BCM2836;Sony;ARM Cortex-A7 (32-bit);Quad-Core @ 900 MHz;BCM VideoCore IV;1024 MB;MicroSDHC;10/100 Mbit/s;None;None;(I2S);Analog, HDMI, I2S;MIPI (CSI);HDMI, Composite Video (TRRS), MIPI (DSI);1;1;4;P1 plus;rpi_2_model_b.png
a02082;3;B;1.2;2016 Q1;BCM2837;Embest;ARM Cortex-A53 (64/32-bit);Quad-Core @ 1200 MHz;BCM VideoCore IV;1024 MB;MicroSDHC, USB Boot;10/100 Mbit/s;802.11 b/n/g;4.1;(I2S);Analog, HDMI, I2S;MIPI (CSI);HDMI, Composite Video (TRRS), MIPI (DSI);1;1;4;P1 plus;rpi_3_model_b.png
a020a0;1;CM 3 (Lite);1.0;2017 Q1;BCM2837;Sony;ARM Cortex-A53 (64/32-bit);Quad-Core @ 1200 MHz;BCM VideoCore IV;1024 MB;eMMC (Lite MicroSDHC);None;None;None;(I2S);Analog, HDMI, I2S;MIPI (CSI);HDMI, Composite Video (RCA), MIPI (DSI);2;2;1;CM SODIMM;no_pic.png
a21041;2;B;1.1;2015 Q1;BCM2836;Embest;ARM Cortex-A7 (32-bit);Quad-Core @ 900 MHz;BCM VideoCore IV;1024 MB;MicroSDHC;10/100 Mbit/s;None;None;(I2S);Analog, HDMI, I2S;MIPI (CSI);HDMI, Composite Video (TRRS), MIPI (DSI);1;1;4;P1 plus;rpi_2_model_b.png
a22042;2;B;1.2;2016 Q3;BCM2837;Embest;ARM Cortex-A53 (64/32-bit);Quad-Core @ 900 MHz;BCM VideoCore IV;1024 MB;MicroSDHC;10/100 Mbit/s;None;None;(I2S);Analog, HDMI, I2S;MIPI (CSI);HDMI, Composite Video (TRRS), MIPI (DSI);1;1;4;P1 plus;rpi_2_model_b.png
a22082;3;B;1.2;2016 Q1;BCM2837;Embest;ARM Cortex-A53 (64/32-bit);Quad-Core @ 1200 MHz;BCM VideoCore IV;1024 MB;MicroSDHC, USB Boot;10/100 Mbit/s;802.11 b/n/g;4.1;(I2S);Analog, HDMI, I2S;MIPI (CSI);HDMI, Composite Video (TRRS), MIPI (DSI);1;1;4;P1 plus;rpi_3_model_b.png
a32082;3;B;1.2;2016 Q4;BCM2837;Sony;ARM Cortex-A53 (64/32-bit);Quad-Core @ 1200 MHz;BCM VideoCore IV;1024 MB;MicroSDHC, USB Boot;10/100 Mbit/s;802.11 b/n/g;4.1;(I2S);Analog, HDMI, I2S;MIPI (CSI);HDMI, Composite Video (TRRS), MIPI (DSI);1;1;4;P1 plus;rpi_3_model_b.png
900021;1+;A+;1.1;2016 Q3;BCM2835;Embest;ARM 1176JZF-S (32-bit);Single-Core @ 700 MHz;BCM VideoCore IV;512 MB;MicroSDHC;None;None;None;(I2S);Analog, HDMI, I2S;MIPI (CSI);HDMI, Composite Video (TRRS), MIPI (DSI);1;1;1;P1 plus;rpi_1_model_a_plus.png
900032;1+;B+;1.2;2016 Q2;BCM2835;Sony;ARM 1176JZF-S (32-bit);Single-Core @ 700 MHz;BCM VideoCore IV;512 MB;MicroSDHC;10/100 Mbit/s;None;None;(I2S);Analog, HDMI, I2S;MIPI (CSI);HDMI, Composite Video (TRRS), MIPI (DSI);1;1;4;P1 plus;rpi_1_model_b_plus.png
900092;1;Zero;1.2;2015 Q4;BCM2835;Sony;ARM 1176JZF-S (32-bit);Single-Core @ 700 MHz;BCM VideoCore IV;512 MB;MicroSDHC;None;None;None;(I2S);Analog, HDMI, I2S;None;Mini-HDMI, Composite Video (PCB);0;0;1;P1 plus;rpi_zero.png
900093;1;Zero;1.3;2016 Q2;BCM2835;Sony;ARM 1176JZF-S (32-bit);Single-Core @ 700 MHz;BCM VideoCore IV;512 MB;MicroSDHC;None;None;None;(I2S);Analog, HDMI, I2S;None;Mini-HDMI, Composite Video (PCB);1;0;1;P1 plus;rpi_zero.png
9200c1;1;Zero W;1.1;2017 Q1;BCM2835;Embest;ARM 1176JZF-S (32-bit);Single-Core @ 700 MHz;BCM VideoCore IV;512 MB;MicroSDHC;None;802.11 b/n/g;4.1;(I2S);Analog, Mini-HDMI, I2S;None;Mini-HDMI, Composite Video (PCB);1;0;1;P1 plus;rpi_zero.png
920093;1;Zero;1.3;2016 Q4;BCM2835;Embest;ARM 1176JZF-S (32-bit);Single-Core @ 700 MHz;BCM VideoCore IV;512 MB;MicroSDHC;None;None;None;(I2S);Analog, HDMI, I2S;None;Mini-HDMI, Composite Video (PCB);1;0;1;P1 plus;rpi_zero.png
